transaction_id,transaction_date_key,customer_id,account_id,product_id,branch_id,transaction_type_id,currency_id,channel_id,region_id,employee_id,risk_score_id,merchant_id,loan_type_id,fraud_status_id,payment_mode_id,time_id,tax_code_id,credit_rating_id,investment_plan_id,policy_id,amount
T52,20241021,C101,A102,P100,B100,TT1,CUR2,CH2,R1,E1,RS4,M5,LT2,FS5,PM3,T5,TX4,CR2,IP1,PO5,18.94
T53,20240515,C102,A103,P101,B100,TT1,CUR5,CH3,R4,E4,RS3,M5,LT4,FS1,PM1,T5,TX3,CR1,IP2,PO2,6239.86
T54,20240221,C101,A101,P103,B101,TT5,CUR2,CH2,R5,E1,RS1,M3,LT2,FS2,PM2,T1,TX1,CR4,IP5,PO5,3729.22
T55,20240423,C103,A103,P103,B101,TT2,CUR1,CH1,R1,E5,RS5,M4,LT2,FS3,PM3,T5,TX2,CR2,IP5,PO5,1508.3
T56,20240522,C103,A100,P100,B100,TT5,CUR1,CH2,R5,E5,RS4,M5,LT5,FS4,PM4,T4,TX4,CR5,IP4,PO1,126.12
T57,20240125,C104,A100,P104,B101,TT2,CUR3,CH3,R5,E2,RS3,M4,LT3,FS2,PM4,T2,TX1,CR5,IP1,PO3,721.85
T58,20240707,C102,A104,P104,B101,TT1,CUR1,CH5,R5,E4,RS3,M1,LT3,FS1,PM3,T1,TX2,CR5,IP2,PO5,7545.22
T59,20240114,C100,A101,P102,B100,TT4,CUR1,CH3,R2,E4,RS3,M1,LT4,FS3,PM2,T2,TX1,CR5,IP3,PO2,1379.4
T60,20240224,C100,A104,P101,B101,TT5,CUR2,CH3,R1,E2,RS2,M2,LT5,FS5,PM5,T2,TX5,CR1,IP1,PO2,7015.66
T61,20240918,C103,A104,P101,B100,TT4,CUR5,CH4,R5,E2,RS4,M3,LT3,FS2,PM1,T2,TX1,CR1,IP3,PO3,5628.26
T62,20240408,C102,A104,P100,B100,TT2,CUR3,CH1,R5,E5,RS3,M5,LT5,FS3,PM1,T5,TX1,CR3,IP5,PO4,6267.54
T63,20240903,C103,A101,P100,B100,TT3,CUR1,CH4,R5,E3,RS5,M4,LT2,FS1,PM4,T3,TX1,CR5,IP5,PO2,9424.12
T64,20241015,C103,A100,P104,B103,TT3,CUR2,CH4,R2,E3,RS1,M5,LT5,FS5,PM3,T5,TX4,CR5,IP4,PO1,8910.31
T65,20240812,C104,A102,P100,B102,TT5,CUR2,CH3,R2,E3,RS2,M4,LT2,FS4,PM2,T3,TX4,CR2,IP2,PO3,3310.35
T66,20241225,C103,A103,P102,B104,TT2,CUR1,CH3,R4,E2,RS1,M2,LT5,FS5,PM5,T3,TX5,CR2,IP5,PO5,185.04
T67,20240905,C101,A102,P100,B101,TT1,CUR3,CH2,R1,E2,RS4,M3,LT3,FS5,PM1,T5,TX4,CR3,IP5,PO3,2449.75
T68,20240925,C104,A103,P101,B104,TT2,CUR4,CH2,R4,E5,RS3,M1,LT3,FS5,PM4,T2,TX5,CR3,IP3,PO1,9557.01
T69,20241219,C100,A101,P101,B103,TT4,CUR1,CH5,R2,E1,RS2,M2,LT2,FS5,PM4,T4,TX3,CR1,IP1,PO4,589.38
T70,20240519,C104,A102,P102,B104,TT2,CUR3,CH5,R3,E2,RS1,M1,LT3,FS2,PM1,T3,TX1,CR3,IP2,PO1,3090.77
T71,20240802,C104,A104,P101,B102,TT1,CUR2,CH3,R2,E5,RS5,M1,LT3,FS2,PM3,T3,TX4,CR2,IP4,PO5,453.84
T72,20240302,C100,A102,P103,B104,TT4,CUR3,CH2,R5,E3,RS3,M5,LT5,FS4,PM2,T4,TX1,CR1,IP4,PO5,356.57
T73,20240227,C104,A100,P103,B104,TT3,CUR2,CH2,R2,E4,RS5,M5,LT4,FS3,PM2,T3,TX5,CR5,IP4,PO4,2755.57
T74,20241113,C101,A103,P100,B100,TT2,CUR2,CH1,R2,E5,RS3,M5,LT5,FS3,PM1,T1,TX1,CR5,IP2,PO2,3801.13
T75,20240522,C103,A101,P101,B103,TT1,CUR4,CH1,R1,E4,RS2,M3,LT4,FS2,PM2,T5,TX2,CR4,IP4,PO4,2613.02
T76,20240720,C102,A101,P100,B102,TT5,CUR4,CH5,R5,E3,RS4,M3,LT5,FS3,PM2,T1,TX2,CR4,IP2,PO1,5768.68
T77,20241208,C104,A104,P101,B101,TT4,CUR5,CH4,R1,E5,RS1,M2,LT1,FS5,PM1,T4,TX2,CR2,IP2,PO1,1824.13
T78,20240512,C104,A103,P101,B102,TT5,CUR3,CH3,R4,E1,RS2,M2,LT4,FS2,PM2,T1,TX1,CR2,IP3,PO5,51.39
T79,20240803,C104,A104,P102,B103,TT4,CUR3,CH5,R4,E1,RS3,M4,LT3,FS2,PM4,T2,TX4,CR1,IP2,PO3,8375.85
T80,20241230,C101,A101,P102,B101,TT4,CUR5,CH3,R2,E1,RS1,M3,LT4,FS1,PM4,T2,TX3,CR3,IP4,PO4,5815.99
T81,20241026,C104,A102,P100,B104,TT5,CUR4,CH3,R1,E4,RS1,M1,LT5,FS4,PM5,T5,TX1,CR2,IP3,PO3,2827.36
T82,20240429,C103,A104,P100,B101,TT1,CUR1,CH2,R4,E2,RS1,M4,LT3,FS3,PM5,T2,TX1,CR1,IP4,PO1,7116.73
T83,20240512,C100,A103,P102,B102,TT3,CUR3,CH3,R5,E2,RS4,M4,LT5,FS4,PM3,T1,TX4,CR5,IP2,PO5,3446.92
T84,20240511,C101,A103,P103,B101,TT5,CUR4,CH1,R1,E4,RS5,M1,LT4,FS3,PM2,T1,TX4,CR2,IP5,PO4,5820.78
T85,20240918,C102,A100,P100,B104,TT1,CUR5,CH2,R1,E3,RS3,M5,LT5,FS2,PM4,T5,TX1,CR4,IP3,PO3,7711.47
T86,20240709,C102,A103,P103,B101,TT2,CUR2,CH3,R4,E1,RS5,M4,LT5,FS3,PM5,T4,TX4,CR1,IP5,PO1,4320.86
T87,20240730,C103,A104,P103,B104,TT3,CUR2,CH5,R3,E4,RS5,M1,LT2,FS2,PM4,T1,TX5,CR3,IP1,PO1,6260.09
T88,20240706,C103,A102,P101,B103,TT1,CUR4,CH3,R5,E1,RS3,M3,LT1,FS1,PM4,T1,TX1,CR4,IP4,PO5,3664.61
T89,20240715,C101,A102,P100,B103,TT3,CUR1,CH5,R2,E5,RS4,M1,LT2,FS1,PM1,T4,TX5,CR2,IP4,PO3,5427.25
T90,20240529,C100,A101,P100,B101,TT3,CUR1,CH5,R4,E4,RS3,M1,LT3,FS4,PM3,T1,TX5,CR5,IP1,PO4,6737.87
T91,20241230,C101,A103,P102,B101,TT4,CUR1,CH4,R4,E4,RS3,M2,LT2,FS3,PM1,T4,TX3,CR5,IP1,PO5,6261.06
T92,20241215,C101,A101,P102,B104,TT1,CUR4,CH1,R5,E1,RS3,M3,LT2,FS1,PM1,T3,TX3,CR1,IP3,PO3,9175.01
T93,20240412,C101,A104,P100,B103,TT5,CUR2,CH3,R5,E1,RS1,M1,LT3,FS2,PM2,T5,TX5,CR2,IP3,PO1,8277.67
T94,20240401,C100,A103,P102,B102,TT1,CUR2,CH4,R1,E4,RS2,M1,LT2,FS5,PM1,T5,TX5,CR4,IP5,PO4,771.63
T95,20241015,C104,A102,P101,B104,TT5,CUR1,CH2,R3,E5,RS5,M1,LT4,FS5,PM4,T5,TX1,CR3,IP5,PO4,4093.9
T96,20240424,C103,A102,P100,B103,TT4,CUR4,CH4,R4,E4,RS2,M3,LT5,FS1,PM4,T3,TX1,CR5,IP3,PO4,2760.81
T97,20240414,C103,A100,P101,B100,TT4,CUR1,CH4,R3,E2,RS2,M4,LT2,FS2,PM3,T3,TX5,CR1,IP3,PO4,5644.46
T98,20240915,C101,A103,P104,B102,TT2,CUR3,CH2,R2,E3,RS3,M2,LT4,FS2,PM1,T2,TX2,CR1,IP3,PO5,9428.2
T99,20240630,C102,A103,P100,B104,TT3,CUR5,CH5,R1,E3,RS3,M3,LT4,FS1,PM4,T1,TX5,CR3,IP3,PO5,3010.39
T100,20240429,C100,A104,P104,B100,TT1,CUR1,CH5,R1,E1,RS3,M2,LT3,FS2,PM5,T3,TX2,CR1,IP1,PO4,6765.14
T101,20240909,C104,A103,P100,B104,TT5,CUR3,CH4,R4,E3,RS5,M4,LT3,FS4,PM3,T1,TX1,CR3,IP4,PO1,3818.93
T102,20241125,C103,A100,P101,B102,TT1,CUR5,CH2,R2,E4,RS5,M5,LT1,FS5,PM2,T4,TX1,CR3,IP5,PO4,9980.65
T103,20241121,C104,A102,P103,B102,TT4,CUR3,CH3,R3,E3,RS4,M2,LT3,FS4,PM3,T3,TX5,CR5,IP3,PO2,7482.37
T104,20240622,C101,A103,P100,B104,TT3,CUR5,CH5,R5,E4,RS4,M3,LT5,FS2,PM1,T5,TX2,CR4,IP5,PO2,762.77
T105,20240603,C101,A102,P101,B103,TT1,CUR3,CH5,R5,E3,RS4,M5,LT4,FS2,PM2,T2,TX4,CR3,IP4,PO5,9479.35
T106,20240430,C100,A103,P101,B103,TT5,CUR1,CH1,R4,E4,RS3,M4,LT1,FS1,PM4,T1,TX2,CR2,IP2,PO2,4921.07
T107,20240913,C101,A104,P102,B100,TT2,CUR3,CH2,R1,E4,RS5,M4,LT1,FS1,PM2,T2,TX3,CR4,IP3,PO3,5157.08
T108,20240829,C101,A104,P101,B104,TT1,CUR1,CH2,R1,E5,RS2,M3,LT1,FS4,PM3,T5,TX1,CR2,IP2,PO2,1485.35
T109,20240512,C102,A103,P103,B102,TT3,CUR1,CH5,R5,E5,RS1,M4,LT3,FS4,PM3,T4,TX3,CR2,IP4,PO5,3728.62
T110,20241203,C101,A103,P100,B101,TT4,CUR2,CH5,R2,E3,RS1,M3,LT1,FS2,PM4,T4,TX2,CR4,IP5,PO2,9346.18
T111,20241211,C104,A104,P103,B101,TT2,CUR3,CH2,R2,E5,RS5,M4,LT1,FS5,PM2,T5,TX2,CR1,IP4,PO3,5032.67
T112,20240103,C103,A101,P104,B102,TT5,CUR1,CH3,R1,E2,RS1,M2,LT5,FS4,PM4,T3,TX5,CR5,IP4,PO5,2982.05
T113,20240523,C103,A100,P103,B103,TT1,CUR2,CH1,R2,E5,RS3,M5,LT3,FS3,PM4,T1,TX5,CR3,IP5,PO5,6154.23
T114,20240429,C102,A104,P100,B104,TT4,CUR2,CH4,R4,E4,RS5,M3,LT5,FS4,PM5,T4,TX3,CR1,IP4,PO1,2463.88
T115,20240106,C100,A104,P102,B101,TT3,CUR2,CH1,R4,E3,RS3,M1,LT4,FS2,PM4,T3,TX4,CR1,IP1,PO4,7655.3
T116,20240817,C102,A101,P100,B100,TT1,CUR3,CH1,R2,E1,RS4,M2,LT3,FS4,PM5,T3,TX3,CR3,IP3,PO3,1416.22
T117,20240202,C102,A101,P103,B102,TT3,CUR2,CH5,R4,E4,RS2,M1,LT3,FS3,PM2,T4,TX2,CR4,IP5,PO5,5375.18
T118,20241223,C101,A102,P103,B104,TT1,CUR1,CH1,R2,E1,RS1,M5,LT3,FS4,PM5,T1,TX3,CR1,IP4,PO1,5090.5
T119,20241227,C102,A100,P104,B100,TT5,CUR3,CH2,R1,E3,RS3,M2,LT5,FS5,PM5,T2,TX5,CR2,IP2,PO5,1464.89
T120,20241205,C101,A101,P102,B102,TT5,CUR1,CH3,R4,E4,RS1,M4,LT2,FS3,PM2,T4,TX3,CR5,IP5,PO1,3304.43
T121,20240721,C100,A103,P102,B100,TT4,CUR3,CH2,R1,E1,RS1,M3,LT5,FS3,PM2,T1,TX5,CR4,IP3,PO3,6575.99
T122,20240405,C102,A102,P101,B101,TT3,CUR4,CH4,R1,E4,RS4,M1,LT4,FS4,PM5,T2,TX1,CR3,IP4,PO5,5481.31
T123,20240124,C103,A104,P101,B102,TT4,CUR2,CH3,R5,E3,RS2,M2,LT1,FS2,PM1,T2,TX1,CR5,IP1,PO3,8578.03
T124,20240924,C103,A103,P102,B101,TT5,CUR1,CH5,R3,E3,RS5,M1,LT5,FS1,PM5,T1,TX2,CR5,IP2,PO3,4641.36
T125,20240903,C103,A100,P101,B103,TT4,CUR2,CH2,R3,E1,RS4,M3,LT4,FS3,PM4,T2,TX2,CR2,IP4,PO3,4019.09
T126,20240430,C104,A101,P100,B100,TT3,CUR1,CH3,R4,E3,RS4,M2,LT3,FS4,PM5,T2,TX1,CR4,IP3,PO2,133.01
T127,20240718,C103,A102,P101,B101,TT4,CUR5,CH3,R3,E1,RS4,M1,LT4,FS2,PM4,T4,TX1,CR1,IP5,PO5,7545.77
T128,20241120,C102,A104,P103,B103,TT5,CUR5,CH4,R5,E1,RS2,M4,LT1,FS4,PM5,T2,TX1,CR4,IP1,PO4,2179.05
T129,20240907,C100,A103,P100,B104,TT2,CUR1,CH3,R1,E4,RS5,M1,LT1,FS3,PM2,T3,TX5,CR4,IP4,PO1,7599.53
T130,20240825,C100,A101,P104,B103,TT3,CUR1,CH5,R4,E1,RS4,M5,LT1,FS4,PM5,T5,TX5,CR4,IP1,PO2,1070.23
T131,20240216,C104,A104,P103,B101,TT2,CUR5,CH2,R1,E2,RS5,M1,LT2,FS1,PM3,T4,TX3,CR2,IP1,PO1,6296.0
T132,20240417,C103,A101,P104,B100,TT2,CUR2,CH3,R2,E2,RS4,M1,LT4,FS3,PM5,T5,TX3,CR3,IP2,PO2,9904.89
T133,20240613,C103,A103,P102,B102,TT1,CUR3,CH1,R2,E4,RS2,M2,LT4,FS5,PM5,T2,TX3,CR4,IP2,PO3,4981.27
T134,20240821,C104,A100,P101,B104,TT3,CUR4,CH5,R4,E2,RS2,M5,LT4,FS2,PM2,T3,TX5,CR5,IP2,PO2,2582.22
T135,20241206,C104,A101,P103,B104,TT4,CUR2,CH4,R4,E4,RS5,M2,LT1,FS2,PM1,T2,TX3,CR5,IP1,PO4,7239.94
T136,20240430,C102,A100,P102,B103,TT1,CUR2,CH5,R4,E4,RS1,M1,LT1,FS2,PM2,T1,TX2,CR1,IP2,PO1,1623.63
T137,20240814,C101,A102,P104,B103,TT4,CUR5,CH4,R1,E3,RS1,M3,LT5,FS3,PM1,T1,TX4,CR4,IP1,PO5,2888.67
T138,20240207,C103,A101,P100,B101,TT5,CUR1,CH1,R1,E4,RS2,M3,LT2,FS3,PM4,T4,TX3,CR2,IP2,PO4,284.64
T139,20241119,C100,A101,P102,B100,TT2,CUR4,CH3,R5,E4,RS2,M2,LT5,FS3,PM3,T1,TX2,CR5,IP5,PO3,6043.62
T140,20240418,C103,A102,P104,B102,TT1,CUR3,CH1,R3,E2,RS3,M1,LT2,FS3,PM1,T5,TX4,CR4,IP5,PO1,6899.01
T141,20240524,C103,A102,P104,B103,TT2,CUR1,CH3,R5,E2,RS1,M2,LT2,FS5,PM5,T2,TX1,CR5,IP3,PO1,6875.95
T142,20241202,C101,A101,P103,B103,TT1,CUR5,CH2,R4,E3,RS1,M4,LT2,FS4,PM1,T3,TX5,CR3,IP3,PO4,8243.64
T143,20240929,C104,A101,P103,B104,TT5,CUR1,CH3,R5,E1,RS2,M1,LT3,FS2,PM3,T4,TX5,CR3,IP4,PO3,6784.7
T144,20240616,C101,A101,P100,B102,TT2,CUR1,CH3,R1,E3,RS5,M5,LT4,FS5,PM4,T5,TX2,CR4,IP3,PO3,1967.77
T145,20241201,C102,A102,P104,B104,TT5,CUR2,CH3,R2,E1,RS5,M5,LT3,FS5,PM3,T2,TX2,CR4,IP1,PO3,8749.79
T146,20240529,C103,A102,P100,B104,TT1,CUR3,CH1,R2,E3,RS3,M5,LT2,FS1,PM4,T5,TX2,CR3,IP5,PO5,6774.62
T147,20240213,C103,A100,P103,B101,TT3,CUR2,CH4,R4,E4,RS2,M3,LT3,FS2,PM3,T3,TX1,CR3,IP3,PO3,7731.52
T148,20240210,C101,A103,P101,B104,TT5,CUR3,CH1,R4,E4,RS3,M4,LT4,FS3,PM3,T4,TX1,CR5,IP5,PO5,9989.78
T149,20240920,C103,A100,P100,B101,TT3,CUR4,CH3,R1,E5,RS5,M4,LT5,FS2,PM1,T4,TX3,CR5,IP1,PO1,6944.65
T150,20240614,C102,A100,P100,B100,TT4,CUR3,CH4,R4,E2,RS4,M5,LT4,FS2,PM5,T4,TX1,CR3,IP2,PO4,9034.74
T151,20240609,C104,A103,P104,B100,TT3,CUR3,CH5,R2,E2,RS3,M3,LT3,FS1,PM2,T3,TX1,CR4,IP5,PO1,3409.88
T152,20240330,C102,A104,P100,B103,TT5,CUR4,CH2,R2,E3,RS1,M3,LT3,FS4,PM1,T2,TX1,CR2,IP4,PO3,6857.11
T153,20240621,C104,A104,P100,B100,TT3,CUR3,CH1,R1,E1,RS1,M2,LT2,FS4,PM5,T3,TX4,CR4,IP1,PO4,5741.37
T154,20240630,C100,A101,P102,B100,TT3,CUR1,CH1,R4,E5,RS4,M5,LT1,FS3,PM4,T4,TX1,CR4,IP2,PO5,6905.5
T155,20241205,C103,A100,P101,B101,TT5,CUR1,CH2,R2,E1,RS1,M4,LT5,FS2,PM4,T1,TX5,CR4,IP2,PO2,5907.22
T156,20240422,C102,A100,P102,B103,TT3,CUR5,CH2,R1,E3,RS5,M3,LT3,FS4,PM3,T5,TX5,CR4,IP4,PO4,7459.97
T157,20240929,C104,A102,P100,B102,TT5,CUR3,CH5,R1,E4,RS4,M4,LT1,FS2,PM5,T5,TX4,CR4,IP4,PO2,4973.0
T158,20240617,C100,A102,P100,B100,TT2,CUR4,CH3,R1,E5,RS1,M2,LT2,FS3,PM1,T3,TX2,CR3,IP1,PO4,5620.11
T159,20240301,C102,A101,P101,B101,TT2,CUR5,CH2,R3,E3,RS4,M5,LT4,FS5,PM1,T1,TX4,CR5,IP2,PO5,5706.33
T160,20240914,C104,A103,P101,B103,TT1,CUR4,CH3,R2,E2,RS1,M5,LT2,FS1,PM1,T4,TX5,CR2,IP4,PO4,9565.96
T161,20240305,C101,A100,P101,B104,TT4,CUR5,CH5,R1,E5,RS4,M5,LT1,FS4,PM3,T3,TX2,CR5,IP1,PO3,6071.03
T162,20240615,C102,A100,P103,B103,TT2,CUR4,CH1,R2,E4,RS5,M5,LT3,FS4,PM4,T3,TX5,CR1,IP4,PO4,4136.39
T163,20240126,C100,A103,P101,B102,TT4,CUR5,CH5,R4,E4,RS3,M5,LT5,FS5,PM1,T4,TX5,CR5,IP5,PO2,184.05
T164,20240630,C104,A104,P100,B102,TT3,CUR5,CH2,R5,E5,RS4,M5,LT4,FS4,PM3,T4,TX2,CR5,IP3,PO3,482.59
T165,20241203,C103,A100,P101,B104,TT4,CUR5,CH3,R3,E4,RS1,M1,LT1,FS3,PM2,T3,TX1,CR1,IP1,PO5,2869.93
T166,20240805,C100,A101,P102,B103,TT4,CUR3,CH2,R4,E4,RS2,M3,LT5,FS5,PM1,T2,TX2,CR4,IP4,PO4,9072.55
T167,20240328,C101,A103,P103,B102,TT5,CUR1,CH5,R3,E4,RS5,M2,LT3,FS2,PM2,T2,TX1,CR5,IP5,PO3,7981.75
T168,20240205,C103,A102,P104,B103,TT3,CUR1,CH3,R5,E3,RS1,M1,LT4,FS3,PM3,T1,TX1,CR2,IP3,PO4,1052.71
T169,20241230,C102,A102,P103,B103,TT5,CUR1,CH4,R3,E2,RS5,M4,LT5,FS1,PM3,T1,TX2,CR3,IP3,PO3,4790.75
