"dt","startdatetime","cpcode","response_code","originhits"
2022-01-03,2022-01-03T00:00:00.000Z,1277307,502,4835
2022-01-03,2022-01-03T00:00:00.000Z,1136021,204,2602
2022-01-03,2022-01-03T00:00:00.000Z,1136021,502,12440
2022-01-03,2022-01-03T00:00:00.000Z,1236405,304,4821
2022-01-03,2022-01-03T00:00:00.000Z,1136008,500,4620
2022-01-03,2022-01-03T00:00:00.000Z,1069770,204,4559
2022-01-03,2022-01-03T00:00:00.000Z,1277305,0,1731
2022-01-04,2022-01-04T00:00:00.000Z,1136023,403,8592
2022-01-04,2022-01-04T00:00:00.000Z,1274090,500,3548
2022-01-04,2022-01-04T00:00:00.000Z,1367469,0,11609
2022-01-04,2022-01-04T00:00:00.000Z,1136018,304,12306
2022-01-04,2022-01-04T00:00:00.000Z,1308083,500,16457
2022-01-04,2022-01-04T00:00:00.000Z,1136023,0,13209
2022-01-04,2022-01-04T00:00:00.000Z,1367469,404,7323
2022-01-04,2022-01-04T00:00:00.000Z,1274089,304,4
2022-01-04,2022-01-04T00:00:00.000Z,1136001,304,14080
2022-01-04,2022-01-04T00:00:00.000Z,1367469,204,16174
2022-01-04,2022-01-04T00:00:00.000Z,1236405,200,7126
2022-01-04,2022-01-04T00:00:00.000Z,1236405,504,14025
2022-01-04,2022-01-04T00:00:00.000Z,1136024,504,2407
2022-01-04,2022-01-04T00:00:00.000Z,1274089,502,11415
2022-01-04,2022-01-04T00:00:00.000Z,1069770,503,17896
2022-01-04,2022-01-04T00:00:00.000Z,1236405,500,11973
2022-01-04,2022-01-04T00:00:00.000Z,1136038,403,8823
2022-01-04,2022-01-04T00:00:00.000Z,1277307,500,1432
2022-01-04,2022-01-04T00:00:00.000Z,1136019,206,6191
2022-01-04,2022-01-04T00:00:00.000Z,1136022,504,16139
2022-01-04,2022-01-04T00:00:00.000Z,1069518,504,3478
2022-01-04,2022-01-04T00:00:00.000Z,1136001,502,10358
2022-01-04,2022-01-04T00:00:00.000Z,1367469,204,18203
2022-01-05,2022-01-05T00:00:00.000Z,1136018,403,17811
2022-01-05,2022-01-05T00:00:00.000Z,1135952,403,19224
2022-01-05,2022-01-05T00:00:00.000Z,1274091,204,14974
2022-01-05,2022-01-05T00:00:00.000Z,1136008,500,19010
2022-01-05,2022-01-05T00:00:00.000Z,1136039,204,2718
2022-01-05,2022-01-05T00:00:00.000Z,1136018,204,645
2022-01-05,2022-01-05T00:00:00.000Z,1136038,503,13860
2022-01-05,2022-01-05T00:00:00.000Z,1136019,403,2819
2022-01-05,2022-01-05T00:00:00.000Z,1069770,206,12520
2022-01-05,2022-01-05T00:00:00.000Z,1277305,0,16233
2022-01-05,2022-01-05T00:00:00.000Z,1274091,503,17737
2022-01-05,2022-01-05T00:00:00.000Z,1136019,0,16969
2022-01-05,2022-01-05T00:00:00.000Z,1274090,500,16536
2022-01-05,2022-01-05T00:00:00.000Z,1069518,404,3716
2022-01-05,2022-01-05T00:00:00.000Z,1136039,404,18822
2022-01-05,2022-01-05T00:00:00.000Z,1136038,204,3967
2022-01-05,2022-01-05T00:00:00.000Z,1136038,400,2192
2022-01-05,2022-01-05T00:00:00.000Z,1277307,504,5257
2022-01-05,2022-01-05T00:00:00.000Z,1274090,503,16004
2022-01-05,2022-01-05T00:00:00.000Z,1136008,204,7650
2022-01-05,2022-01-05T00:00:00.000Z,1274091,304,17224
2022-01-05,2022-01-05T00:00:00.000Z,1136008,200,11465
2022-01-05,2022-01-05T00:00:00.000Z,1136039,502,1113
2022-01-06,2022-01-06T00:00:00.000Z,1274091,304,13678
2022-01-06,2022-01-06T00:00:00.000Z,1136019,403,29719
2022-01-06,2022-01-06T00:00:00.000Z,1308083,404,11154
2022-01-06,2022-01-06T00:00:00.000Z,1136022,404,3918
2022-01-06,2022-01-06T00:00:00.000Z,1136039,404,10499
2022-01-06,2022-01-06T00:00:00.000Z,1136024,404,1747
2022-01-06,2022-01-06T00:00:00.000Z,1069518,503,22508
2022-01-06,2022-01-06T00:00:00.000Z,1136021,200,17098
2022-01-06,2022-01-06T00:00:00.000Z,1277305,504,26351
2022-01-06,2022-01-06T00:00:00.000Z,1274090,206,27558
2022-01-06,2022-01-06T00:00:00.000Z,1277305,200,11566
2022-01-06,2022-01-06T00:00:00.000Z,1277305,206,22913
2022-01-06,2022-01-06T00:00:00.000Z,1136022,204,14829
2022-01-06,2022-01-06T00:00:00.000Z,1277306,206,5728
2022-01-06,2022-01-06T00:00:00.000Z,1274086,200,22231
2022-01-06,2022-01-06T00:00:00.000Z,1367469,403,21750
2022-01-06,2022-01-06T00:00:00.000Z,1277305,200,7254
2022-01-06,2022-01-06T00:00:00.000Z,1277307,304,28066
2022-01-06,2022-01-06T00:00:00.000Z,1274091,504,26011
2022-01-06,2022-01-06T00:00:00.000Z,1136021,0,6400
2022-01-06,2022-01-06T00:00:00.000Z,1367469,304,8925
2022-01-06,2022-01-06T00:00:00.000Z,1274091,206,27075
2022-01-06,2022-01-06T00:00:00.000Z,1136038,500,3114
2022-01-07,2022-01-07T00:00:00.000Z,1136022,304,33032
2022-01-07,2022-01-07T00:00:00.000Z,1136039,504,27413
2022-01-07,2022-01-07T00:00:00.000Z,1274089,0,15734
2022-01-07,2022-01-07T00:00:00.000Z,1308083,404,15087
2022-01-07,2022-01-07T00:00:00.000Z,1277306,403,5131
2022-01-07,2022-01-07T00:00:00.000Z,1136038,504,2718
2022-01-07,2022-01-07T00:00:00.000Z,1277305,403,2924
2022-01-07,2022-01-07T00:00:00.000Z,1136018,304,28816
2022-01-07,2022-01-07T00:00:00.000Z,1274089,206,31572
2022-01-07,2022-01-07T00:00:00.000Z,1274086,403,14308
2022-01-07,2022-01-07T00:00:00.000Z,1069770,500,25199
2022-01-07,2022-01-07T00:00:00.000Z,1136008,503,23849
2022-01-07,2022-01-07T00:00:00.000Z,1136038,304,9889
2022-01-07,2022-01-07T00:00:00.000Z,1274089,400,14533
2022-01-07,2022-01-07T00:00:00.000Z,1277305,304,19069
2022-01-07,2022-01-07T00:00:00.000Z,1136018,502,16631
2022-01-07,2022-01-07T00:00:00.000Z,1136019,500,6176
2022-01-07,2022-01-07T00:00:00.000Z,1274090,503,1653
2022-01-07,2022-01-07T00:00:00.000Z,1274089,200,1362
2022-01-07,2022-01-07T00:00:00.000Z,1069518,404,24727
2022-01-07,2022-01-07T00:00:00.000Z,1277306,504,4337
2022-01-07,2022-01-07T00:00:00.000Z,1136008,200,28891
2022-01-07,2022-01-07T00:00:00.000Z,1277305,500,26552
2022-01-08,2022-01-08T00:00:00.000Z,1136019,404,12924
2022-01-08,2022-01-08T00:00:00.000Z,1136023,0,28685
2022-01-08,2022-01-08T00:00:00.000Z,1136019,400,8155
2022-01-08,2022-01-08T00:00:00.000Z,1136039,204,15048
2022-01-08,2022-01-08T00:00:00.000Z,1236405,503,19143
2022-01-08,2022-01-08T00:00:00.000Z,1136018,204,13948
2022-01-08,2022-01-08T00:00:00.000Z,1069518,500,3477
2022-01-08,2022-01-08T00:00:00.000Z,1069518,502,38091
2022-01-08,2022-01-08T00:00:00.000Z,1136039,204,6970
2022-01-08,2022-01-08T00:00:00.000Z,1136038,206,31403
2022-01-08,2022-01-08T00:00:00.000Z,1136024,304,3898
2022-01-08,2022-01-08T00:00:00.000Z,1069770,504,5130
2022-01-08,2022-01-08T00:00:00.000Z,1308083,200,3952
2022-01-08,2022-01-08T00:00:00.000Z,1136024,404,19357
2022-01-08,2022-01-08T00:00:00.000Z,1136038,503,31597
2022-01-08,2022-01-08T00:00:00.000Z,1274089,404,34840
2022-01-08,2022-01-08T00:00:00.000Z,1277306,204,13513
2022-01-08,2022-01-08T00:00:00.000Z,1274091,200,21799
2022-01-08,2022-01-08T00:00:00.000Z,1136008,200,36042
2022-01-08,2022-01-08T00:00:00.000Z,1136019,503,2201
2022-01-08,2022-01-08T00:00:00.000Z,1136039,503,32774
2022-01-08,2022-01-08T00:00:00.000Z,1135952,400,31734
2022-01-08,2022-01-08T00:00:00.000Z,1136022,204,12146
2022-01-09,2022-01-09T00:00:00.000Z,1277307,0,41840
2022-01-09,2022-01-09T00:00:00.000Z,1136024,502,12881
2022-01-09,2022-01-09T00:00:00.000Z,1277307,200,1741
2022-01-09,2022-01-09T00:00:00.000Z,1136022,200,9017
2022-01-09,2022-01-09T00:00:00.000Z,1069518,204,21641
2022-01-09,2022-01-09T00:00:00.000Z,1136018,204,19423
2022-01-09,2022-01-09T00:00:00.000Z,1277306,404,36893
2022-01-09,2022-01-09T00:00:00.000Z,1136001,200,35742
2022-01-09,2022-01-09T00:00:00.000Z,1069770,403,6580
2022-01-09,2022-01-09T00:00:00.000Z,1308083,404,20278
2022-01-09,2022-01-09T00:00:00.000Z,1069518,0,35783
2022-01-09,2022-01-09T00:00:00.000Z,1274091,206,42032
2022-01-09,2022-01-09T00:00:00.000Z,1136038,500,11781
2022-01-09,2022-01-09T00:00:00.000Z,1136019,206,13653
2022-01-09,2022-01-09T00:00:00.000Z,1277305,200,8749
2022-01-09,2022-01-09T00:00:00.000Z,1274090,403,34789
2022-01-09,2022-01-09T00:00:00.000Z,1308083,0,14444
2022-01-09,2022-01-09T00:00:00.000Z,1274090,206,7854
2022-01-09,2022-01-09T00:00:00.000Z,1277306,200,24427
2022-01-09,2022-01-09T00:00:00.000Z,1277307,200,40954
2022-01-09,2022-01-09T00:00:00.000Z,1135952,304,12842
2022-01-09,2022-01-09T00:00:00.000Z,1069770,206,17783
2022-01-09,2022-01-09T00:00:00.000Z,1136008,504,24724
2022-01-10,2022-01-10T00:00:00.000Z,1136023,404,12473
2022-01-10,2022-01-10T00:00:00.000Z,1136023,204,40252
2022-01-10,2022-01-10T00:00:00.000Z,1136038,204,30625
2022-01-10,2022-01-10T00:00:00.000Z,1236405,502,40484
2022-01-10,2022-01-10T00:00:00.000Z,1136021,206,29427
2022-01-10,2022-01-10T00:00:00.000Z,1136039,400,8699
2022-01-10,2022-01-10T00:00:00.000Z,1308083,206,6447
2022-01-10,2022-01-10T00:00:00.000Z,1136001,200,38640
2022-01-10,2022-01-10T00:00:00.000Z,1069770,400,17711
2022-01-10,2022-01-10T00:00:00.000Z,1136001,500,15612
2022-01-10,2022-01-10T00:00:00.000Z,1136008,503,30698
2022-01-10,2022-01-10T00:00:00.000Z,1274091,503,41790
2022-01-10,2022-01-10T00:00:00.000Z,1136024,504,47482
2022-01-10,2022-01-10T00:00:00.000Z,1136039,503,31693
2022-01-10,2022-01-10T00:00:00.000Z,1308083,502,23420
2022-01-10,2022-01-10T00:00:00.000Z,1274089,503,48363
2022-01-10,2022-01-10T00:00:00.000Z,1136001,400,25354
2022-01-10,2022-01-10T00:00:00.000Z,1274086,304,46592
2022-01-10,2022-01-10T00:00:00.000Z,1136024,206,9498
2022-01-10,2022-01-10T00:00:00.000Z,1274090,502,44563
2022-01-10,2022-01-10T00:00:00.000Z,1136021,400,47148
2022-01-10,2022-01-10T00:00:00.000Z,1136024,504,6473
2022-01-10,2022-01-10T00:00:00.000Z,1274091,503,5608
2022-01-11,2022-01-11T00:00:00.000Z,1277305,503,22063
2022-01-11,2022-01-11T00:00:00.000Z,1069518,504,26567
2022-01-11,2022-01-11T00:00:00.000Z,1136023,500,28137
2022-01-11,2022-01-11T00:00:00.000Z,1136038,400,46569
2022-01-11,2022-01-11T00:00:00.000Z,1136022,400,5992
2022-01-11,2022-01-11T00:00:00.000Z,1136021,304,38340
2022-01-11,2022-01-11T00:00:00.000Z,1274089,503,43468
2022-01-11,2022-01-11T00:00:00.000Z,1274090,304,31094
2022-01-11,2022-01-11T00:00:00.000Z,1274090,400,46773
2022-01-11,2022-01-11T00:00:00.000Z,1277305,204,35581
2022-01-11,2022-01-11T00:00:00.000Z,1277307,400,21624
2022-01-11,2022-01-11T00:00:00.000Z,1236405,503,28869
2022-01-11,2022-01-11T00:00:00.000Z,1236405,0,31439
2022-01-11,2022-01-11T00:00:00.000Z,1136021,500,1321
2022-01-11,2022-01-11T00:00:00.000Z,1136023,304,28271
2022-01-11,2022-01-11T00:00:00.000Z,1136038,200,6730
2022-01-11,2022-01-11T00:00:00.000Z,1136008,400,36306
2022-01-11,2022-01-11T00:00:00.000Z,1308083,200,839
2022-01-11,2022-01-11T00:00:00.000Z,1136039,200,44853
2022-01-11,2022-01-11T00:00:00.000Z,1136018,502,32643
2022-01-11,2022-01-11T00:00:00.000Z,1136038,0,51206
2022-01-11,2022-01-11T00:00:00.000Z,1274091,503,1345
2022-01-11,2022-01-11T00:00:00.000Z,1069770,502,4923
2022-01-12,2022-01-12T00:00:00.000Z,1277305,206,51817
2022-01-12,2022-01-12T00:00:00.000Z,1367469,503,20815
2022-01-12,2022-01-12T00:00:00.000Z,1136023,403,41216
2022-01-12,2022-01-12T00:00:00.000Z,1277307,400,38570
2022-01-12,2022-01-12T00:00:00.000Z,1367469,404,40296
2022-01-12,2022-01-12T00:00:00.000Z,1069518,304,52112
2022-01-12,2022-01-12T00:00:00.000Z,1135952,502,15756
2022-01-12,2022-01-12T00:00:00.000Z,1135952,400,18312
2022-01-12,2022-01-12T00:00:00.000Z,1136023,400,48685
2022-01-12,2022-01-12T00:00:00.000Z,1277307,206,21640
2022-01-12,2022-01-12T00:00:00.000Z,1069770,200,4372
2022-01-12,2022-01-12T00:00:00.000Z,1136024,503,28147
2022-01-12,2022-01-12T00:00:00.000Z,1277307,400,6750
2022-01-12,2022-01-12T00:00:00.000Z,1136021,204,8533
2022-01-12,2022-01-12T00:00:00.000Z,1367469,502,47541
2022-01-12,2022-01-12T00:00:00.000Z,1236405,404,26429
2022-01-12,2022-01-12T00:00:00.000Z,1136019,503,40378
2022-01-12,2022-01-12T00:00:00.000Z,1308083,502,31208
2022-01-12,2022-01-12T00:00:00.000Z,1136018,200,53633
2022-01-12,2022-01-12T00:00:00.000Z,1136021,200,26350
2022-01-12,2022-01-12T00:00:00.000Z,1069770,206,39540
2022-01-12,2022-01-12T00:00:00.000Z,1277306,504,2148
2022-01-12,2022-01-12T00:00:00.000Z,1136019,304,26785
2022-01-13,2022-01-13T00:00:00.000Z,1136023,200,4875
2022-01-13,2022-01-13T00:00:00.000Z,1136022,403,46964
2022-01-13,2022-01-13T00:00:00.000Z,1274090,404,48236
2022-01-13,2022-01-13T00:00:00.000Z,1135952,400,53259
2022-01-13,2022-01-13T00:00:00.000Z,1136019,500,19286
2022-01-13,2022-01-13T00:00:00.000Z,1136024,502,47569
2022-01-13,2022-01-13T00:00:00.000Z,1274091,404,31275
2022-01-13,2022-01-13T00:00:00.000Z,1277307,206,50841
2022-01-13,2022-01-13T00:00:00.000Z,1277307,403,45968
2022-01-13,2022-01-13T00:00:00.000Z,1274089,503,27638
2022-01-13,2022-01-13T00:00:00.000Z,1136021,504,20280
2022-01-13,2022-01-13T00:00:00.000Z,1367469,502,28626
2022-01-13,2022-01-13T00:00:00.000Z,1277306,504,46814
2022-01-13,2022-01-13T00:00:00.000Z,1136001,206,28038
2022-01-13,2022-01-13T00:00:00.000Z,1136008,206,36475
2022-01-13,2022-01-13T00:00:00.000Z,1136023,404,781
2022-01-13,2022-01-13T00:00:00.000Z,1136039,206,36259
2022-01-13,2022-01-13T00:00:00.000Z,1136038,400,50894
2022-01-13,2022-01-13T00:00:00.000Z,1274089,502,30626
2022-01-13,2022-01-13T00:00:00.000Z,1136008,500,25708
2022-01-13,2022-01-13T00:00:00.000Z,1136038,500,44927
2022-01-13,2022-01-13T00:00:00.000Z,1274091,204,61229
2022-01-13,2022-01-13T00:00:00.000Z,1277306,304,59912
2022-01-14,2022-01-14T00:00:00.000Z,1136018,403,37626
2022-01-14,2022-01-14T00:00:00.000Z,1136019,504,179
2022-01-14,2022-01-14T00:00:00.000Z,1274090,502,57645
2022-01-14,2022-01-14T00:00:00.000Z,1136019,206,65155
2022-01-14,2022-01-14T00:00:00.000Z,1136023,206,54222
2022-01-14,2022-01-14T00:00:00.000Z,1367469,0,8629
2022-01-14,2022-01-14T00:00:00.000Z,1136001,304,29439
2022-01-14,2022-01-14T00:00:00.000Z,1136024,502,51378
2022-01-14,2022-01-14T00:00:00.000Z,1136023,400,4998
2022-01-14,2022-01-14T00:00:00.000Z,1277307,502,3054
2022-01-14,2022-01-14T00:00:00.000Z,1136001,504,1397
2022-01-14,2022-01-14T00:00:00.000Z,1136024,200,42004
2022-01-14,2022-01-14T00:00:00.000Z,1274086,304,4945
2022-01-14,2022-01-14T00:00:00.000Z,1277306,403,4232
2022-01-14,2022-01-14T00:00:00.000Z,1069770,206,20422
2022-01-14,2022-01-14T00:00:00.000Z,1277307,304,57207
2022-01-14,2022-01-14T00:00:00.000Z,1136038,304,51329
2022-01-14,2022-01-14T00:00:00.000Z,1277306,403,68990
2022-01-14,2022-01-14T00:00:00.000Z,1274086,400,33689
2022-01-14,2022-01-14T00:00:00.000Z,1274086,503,45268
2022-01-14,2022-01-14T00:00:00.000Z,1308083,404,50989
2022-01-14,2022-01-14T00:00:00.000Z,1136038,0,12751
2022-01-14,2022-01-14T00:00:00.000Z,1277305,204,39111
2022-01-15,2022-01-15T00:00:00.000Z,1069518,504,13523
2022-01-15,2022-01-15T00:00:00.000Z,1136023,502,68504
2022-01-15,2022-01-15T00:00:00.000Z,1136022,504,40622
2022-01-15,2022-01-15T00:00:00.000Z,1274086,0,65254
2022-01-15,2022-01-15T00:00:00.000Z,1136021,502,20388
2022-01-15,2022-01-15T00:00:00.000Z,1136008,504,12482
2022-01-15,2022-01-15T00:00:00.000Z,1136039,204,796
2022-01-15,2022-01-15T00:00:00.000Z,1136022,404,20617
2022-01-15,2022-01-15T00:00:00.000Z,1136019,206,15909
2022-01-15,2022-01-15T00:00:00.000Z,1274090,504,51853
2022-01-15,2022-01-15T00:00:00.000Z,1069770,504,46477
2022-01-15,2022-01-15T00:00:00.000Z,1136021,502,40112
2022-01-15,2022-01-15T00:00:00.000Z,1136001,403,72588
2022-01-15,2022-01-15T00:00:00.000Z,1136038,503,61833
2022-01-15,2022-01-15T00:00:00.000Z,1069518,504,23918
2022-01-15,2022-01-15T00:00:00.000Z,1274091,206,10649
2022-01-15,2022-01-15T00:00:00.000Z,1274089,502,73358
2022-01-15,2022-01-15T00:00:00.000Z,1136018,304,52713
2022-01-15,2022-01-15T00:00:00.000Z,1136024,504,1113
2022-01-15,2022-01-15T00:00:00.000Z,1136018,403,26063
2022-01-15,2022-01-15T00:00:00.000Z,1274091,403,51739
2022-01-15,2022-01-15T00:00:00.000Z,1069770,204,26909
2022-01-15,2022-01-15T00:00:00.000Z,1136001,502,35769
2022-01-16,2022-01-16T00:00:00.000Z,1136019,403,6972
2022-01-16,2022-01-16T00:00:00.000Z,1069518,200,45717
2022-01-16,2022-01-16T00:00:00.000Z,1136008,503,29116
2022-01-16,2022-01-16T00:00:00.000Z,1277307,304,10967
2022-01-16,2022-01-16T00:00:00.000Z,1136038,404,3183
2022-01-16,2022-01-16T00:00:00.000Z,1274091,403,1704
2022-01-16,2022-01-16T00:00:00.000Z,1367469,502,6563
2022-01-16,2022-01-16T00:00:00.000Z,1274091,204,56465
2022-01-16,2022-01-16T00:00:00.000Z,1277307,502,25314
2022-01-16,2022-01-16T00:00:00.000Z,1367469,204,61997
2022-01-16,2022-01-16T00:00:00.000Z,1136024,304,55420
2022-01-16,2022-01-16T00:00:00.000Z,1277307,502,76029
2022-01-16,2022-01-16T00:00:00.000Z,1135952,204,49944
2022-01-16,2022-01-16T00:00:00.000Z,1136019,206,16898
2022-01-16,2022-01-16T00:00:00.000Z,1308083,403,3619
2022-01-16,2022-01-16T00:00:00.000Z,1136023,204,7531
2022-01-16,2022-01-16T00:00:00.000Z,1136021,0,19946
2022-01-16,2022-01-16T00:00:00.000Z,1274086,403,16598
2022-01-16,2022-01-16T00:00:00.000Z,1069770,403,20316
2022-01-16,2022-01-16T00:00:00.000Z,1069518,503,8642
2022-01-16,2022-01-16T00:00:00.000Z,1274091,503,59822
2022-01-16,2022-01-16T00:00:00.000Z,1136023,503,3888
2022-01-16,2022-01-16T00:00:00.000Z,1136008,304,850
2022-01-17,2022-01-17T00:00:00.000Z,1277305,404,68611
2022-01-17,2022-01-17T00:00:00.000Z,1236405,400,13248
2022-01-17,2022-01-17T00:00:00.000Z,1274089,502,67799
2022-01-17,2022-01-17T00:00:00.000Z,1136038,200,17646
2022-01-17,2022-01-17T00:00:00.000Z,1136024,206,74177
2022-01-17,2022-01-17T00:00:00.000Z,1135952,206,8384
2022-01-17,2022-01-17T00:00:00.000Z,1277307,400,73202
2022-01-17,2022-01-17T00:00:00.000Z,1274089,200,22099
2022-01-17,2022-01-17T00:00:00.000Z,1136001,304,7477
2022-01-17,2022-01-17T00:00:00.000Z,1274086,0,8094
2022-01-17,2022-01-17T00:00:00.000Z,1136024,404,14780
2022-01-17,2022-01-17T00:00:00.000Z,1277306,200,49235
2022-01-17,2022-01-17T00:00:00.000Z,1136001,502,32303
2022-01-17,2022-01-17T00:00:00.000Z,1136039,0,73343
2022-01-17,2022-01-17T00:00:00.000Z,1274091,304,48796
2022-01-17,2022-01-17T00:00:00.000Z,1136001,0,17638
2022-01-17,2022-01-17T00:00:00.000Z,1308083,0,36325
2022-01-17,2022-01-17T00:00:00.000Z,1277307,504,12941
2022-01-17,2022-01-17T00:00:00.000Z,1136039,304,5754
2022-01-17,2022-01-17T00:00:00.000Z,1274086,500,21592
2022-01-17,2022-01-17T00:00:00.000Z,1136008,0,4345
2022-01-17,2022-01-17T00:00:00.000Z,1069770,400,46788
2022-01-17,2022-01-17T00:00:00.000Z,1136023,0,79380
2022-01-18,2022-01-18T00:00:00.000Z,1136022,504,25783
2022-01-18,2022-01-18T00:00:00.000Z,1274089,200,8288
2022-01-18,2022-01-18T00:00:00.000Z,1136018,404,28117
2022-01-18,2022-01-18T00:00:00.000Z,1277306,504,57818
2022-01-18,2022-01-18T00:00:00.000Z,1136008,504,32279
2022-01-18,2022-01-18T00:00:00.000Z,1069770,403,50467
2022-01-18,2022-01-18T00:00:00.000Z,1136039,400,37881
2022-01-18,2022-01-18T00:00:00.000Z,1136018,404,14616
2022-01-18,2022-01-18T00:00:00.000Z,1277305,504,63632
2022-01-18,2022-01-18T00:00:00.000Z,1277307,404,22868
2022-01-18,2022-01-18T00:00:00.000Z,1277307,304,45412
2022-01-18,2022-01-18T00:00:00.000Z,1277306,204,12328
2022-01-18,2022-01-18T00:00:00.000Z,1236405,0,74033
2022-01-18,2022-01-18T00:00:00.000Z,1277305,502,4921
2022-01-18,2022-01-18T00:00:00.000Z,1277307,502,87519
2022-01-18,2022-01-18T00:00:00.000Z,1135952,400,75324
2022-01-18,2022-01-18T00:00:00.000Z,1136039,503,70637
2022-01-18,2022-01-18T00:00:00.000Z,1136038,0,3707
2022-01-18,2022-01-18T00:00:00.000Z,1308083,206,62371
2022-01-18,2022-01-18T00:00:00.000Z,1236405,404,44419
2022-01-18,2022-01-18T00:00:00.000Z,1274089,304,69030
2022-01-18,2022-01-18T00:00:00.000Z,1277306,403,52774
2022-01-18,2022-01-18T00:00:00.000Z,1367469,504,66794
2022-01-19,2022-01-19T00:00:00.000Z,1274086,403,6614
2022-01-19,2022-01-19T00:00:00.000Z,1274086,503,5727
2022-01-19,2022-01-19T00:00:00.000Z,1367469,503,26149
2022-01-19,2022-01-19T00:00:00.000Z,1308083,400,11977
2022-01-19,2022-01-19T00:00:00.000Z,1277307,304,43365
2022-01-19,2022-01-19T00:00:00.000Z,1274089,400,22701
2022-01-19,2022-01-19T00:00:00.000Z,1236405,504,63890
2022-01-19,2022-01-19T00:00:00.000Z,1136024,504,48025
2022-01-19,2022-01-19T00:00:00.000Z,1277306,403,59141
